session_id,timestamp,screen_x,screen_y
882f555c,1739042813.04195,1597,805
882f555c,1739042813.073817,1597,805
882f555c,1739042813.104751,1597,805
882f555c,1739042813.141129,1597,805
882f555c,1739042813.1821902,1597,755
882f555c,1739042813.234487,1619,548
882f555c,1739042813.2781582,1486,846
882f555c,1739042813.3208241,1493,831
882f555c,1739042813.365377,1487,865
882f555c,1739042813.407507,1486,885
882f555c,1739042813.4552572,1497,885
882f555c,1739042813.501465,1356,927
882f555c,1739042813.5878432,1369,876
882f555c,1739042813.6673641,1490,910
882f555c,1739042813.6988952,1475,939
882f555c,1739042813.7437482,1505,868
882f555c,1739042813.786745,1429,951
882f555c,1739042813.828942,1455,963
882f555c,1739042813.873277,1408,964
882f555c,1739042813.916318,889,913
882f555c,1739042813.959446,921,949
882f555c,1739042814.000118,901,958
882f555c,1739042814.0434072,906,936
882f555c,1739042814.0878599,961,949
882f555c,1739042814.129209,810,944
882f555c,1739042814.17385,865,952
882f555c,1739042814.216923,904,1052
882f555c,1739042814.2601511,830,995
882f555c,1739042814.3021061,890,1047
882f555c,1739042814.34767,704,1060
882f555c,1739042814.385642,536,1028
882f555c,1739042814.428769,504,1024
882f555c,1739042814.488826,199,1029
882f555c,1739042814.519189,254,1043
882f555c,1739042814.562857,282,1056
882f555c,1739042814.604169,190,790
882f555c,1739042814.652717,157,1019
882f555c,1739042814.692245,152,955
882f555c,1739042814.741196,125,981
882f555c,1739042814.778008,151,1037
882f555c,1739042814.831879,164,1017
882f555c,1739042814.878013,206,968
882f555c,1739042814.934912,227,956
882f555c,1739042815.0336242,227,946
882f555c,1739042815.1079779,145,1029
882f555c,1739042815.176418,145,1059
882f555c,1739042815.2074711,141,1045
882f555c,1739042815.260122,181,917
882f555c,1739042815.3003001,133,1024
882f555c,1739042815.3405492,154,1006
882f555c,1739042815.386016,156,1011
882f555c,1739042815.4279659,213,756
882f555c,1739042815.475629,136,1022
882f555c,1739042815.5115032,175,1042
882f555c,1739042815.561426,190,996
882f555c,1739042815.598146,183,968
882f555c,1739042815.647777,182,642
882f555c,1739042815.6871948,194,712
882f555c,1739042815.7352672,219,692
882f555c,1739042815.769811,213,321
882f555c,1739042815.81893,170,629
882f555c,1739042815.861218,193,242
882f555c,1739042815.9063182,158,65
882f555c,1739042815.947215,171,83
882f555c,1739042815.995213,199,182
882f555c,1739042816.041064,170,132
882f555c,1739042816.085264,145,116
882f555c,1739042816.145889,140,141
882f555c,1739042816.248367,138,122
882f555c,1739042816.312963,146,124
882f555c,1739042816.3856058,126,111
882f555c,1739042816.4256032,132,111
882f555c,1739042816.468459,132,111
882f555c,1739042816.5129652,119,111
882f555c,1739042816.5535831,119,121
882f555c,1739042816.600642,119,120
882f555c,1739042816.640647,377,254
882f555c,1739042816.6866062,532,257
882f555c,1739042816.733367,590,250
882f555c,1739042816.7797508,615,263
882f555c,1739042816.828565,662,182
882f555c,1739042816.87216,602,207
882f555c,1739042816.923104,619,196
882f555c,1739042817.010221,803,199
882f555c,1739042817.084706,913,183
882f555c,1739042817.11066,963,173
882f555c,1739042817.162567,322,180
882f555c,1739042817.198358,246,165
882f555c,1739042817.2481349,264,152
882f555c,1739042817.2847638,272,106
882f555c,1739042817.3279092,252,0
882f555c,1739042817.378199,258,0
882f555c,1739042817.4137821,220,0
882f555c,1739042817.4671738,220,165
882f555c,1739042817.502934,221,150
882f555c,1739042817.546557,311,562
882f555c,1739042817.589825,625,968
882f555c,1739042817.634325,597,959
882f555c,1739042817.6821141,590,967
882f555c,1739042817.729794,690,967
882f555c,1739042817.778474,512,948
882f555c,1739042817.834462,479,948
882f555c,1739042817.930156,328,959
882f555c,1739042817.998101,449,924
882f555c,1739042818.073965,459,941
882f555c,1739042818.105556,609,929
882f555c,1739042818.15728,586,930
882f555c,1739042818.192265,514,930
882f555c,1739042818.246149,609,930
882f555c,1739042818.278048,610,930
882f555c,1739042818.3294551,585,930
882f555c,1739042818.3659399,588,930
882f555c,1739042818.415175,436,925
882f555c,1739042818.452937,427,928
882f555c,1739042818.502193,388,929
882f555c,1739042818.540392,388,929
882f555c,1739042818.5867069,172,952
882f555c,1739042818.626581,207,947
882f555c,1739042818.676193,319,947
882f555c,1739042818.711728,347,947
