session_id,timestamp,screen_x,screen_y
1c4c52b1,1739025780.751724,1562,838
1c4c52b1,1739025780.7976499,1564,845
1c4c52b1,1739025780.880249,1586,845
1c4c52b1,1739025780.9653,1496,824
1c4c52b1,1739025781.044559,1463,815
1c4c52b1,1739025781.131386,1489,808
1c4c52b1,1739025781.217914,1485,813
1c4c52b1,1739025781.298419,1482,848
1c4c52b1,1739025781.331056,1482,741
1c4c52b1,1739025781.374756,1441,744
1c4c52b1,1739025781.417842,1301,748
1c4c52b1,1739025781.4605691,950,558
1c4c52b1,1739025781.509258,746,417
1c4c52b1,1739025781.5464761,758,434
1c4c52b1,1739025781.591212,712,389
1c4c52b1,1739025781.6340292,776,463
1c4c52b1,1739025781.676769,813,519
1c4c52b1,1739025781.726326,1075,526
1c4c52b1,1739025781.7629619,625,202
1c4c52b1,1739025781.805676,686,232
1c4c52b1,1739025781.84527,535,369
1c4c52b1,1739025781.8961742,540,400
1c4c52b1,1739025781.932854,392,251
1c4c52b1,1739025781.977379,389,312
1c4c52b1,1739025782.023694,371,300
1c4c52b1,1739025782.06279,573,959
1c4c52b1,1739025782.105839,619,994
1c4c52b1,1739025782.150923,125,956
1c4c52b1,1739025782.193957,217,930
1c4c52b1,1739025782.236966,306,552
1c4c52b1,1739025782.278618,371,362
1c4c52b1,1739025782.322269,320,182
1c4c52b1,1739025782.369848,344,198
1c4c52b1,1739025782.411915,350,298
1c4c52b1,1739025782.461744,299,287
1c4c52b1,1739025782.504728,349,268
1c4c52b1,1739025782.54979,330,287
1c4c52b1,1739025782.597903,269,303
1c4c52b1,1739025782.639636,308,310
1c4c52b1,1739025782.682644,337,147
1c4c52b1,1739025782.726082,371,141
1c4c52b1,1739025782.764653,367,127
1c4c52b1,1739025782.8081632,133,168
1c4c52b1,1739025782.8492649,142,170
1c4c52b1,1739025782.893493,137,229
1c4c52b1,1739025782.9332428,143,200
1c4c52b1,1739025782.9753659,192,225
1c4c52b1,1739025783.0151958,179,173
1c4c52b1,1739025783.059553,188,196
1c4c52b1,1739025783.1042418,146,172
1c4c52b1,1739025783.146592,176,172
1c4c52b1,1739025783.1934888,134,179
1c4c52b1,1739025783.2454588,141,165
1c4c52b1,1739025783.292866,101,188
1c4c52b1,1739025783.341057,141,169
1c4c52b1,1739025783.437189,168,183
1c4c52b1,1739025783.5094569,140,191
1c4c52b1,1739025783.5375109,88,191
1c4c52b1,1739025783.576375,88,171
1c4c52b1,1739025783.6237922,92,191
1c4c52b1,1739025783.662812,178,171
1c4c52b1,1739025783.709373,138,185
1c4c52b1,1739025783.7495549,90,185
1c4c52b1,1739025783.794334,92,191
1c4c52b1,1739025783.839645,105,171
1c4c52b1,1739025783.8813708,92,197
1c4c52b1,1739025783.922017,89,190
1c4c52b1,1739025783.9682171,97,563
1c4c52b1,1739025784.0107672,253,842
1c4c52b1,1739025784.0546198,115,893
1c4c52b1,1739025784.09707,108,888
1c4c52b1,1739025784.139783,120,946
1c4c52b1,1739025784.182585,156,947
1c4c52b1,1739025784.227242,88,915
1c4c52b1,1739025784.2787142,99,946
1c4c52b1,1739025784.321314,100,946
1c4c52b1,1739025784.362842,115,954
1c4c52b1,1739025784.414749,97,919
1c4c52b1,1739025784.463649,90,919
1c4c52b1,1739025784.516989,97,919
1c4c52b1,1739025784.601633,110,951
1c4c52b1,1739025784.6775072,100,951
1c4c52b1,1739025784.703862,100,951
1c4c52b1,1739025784.743788,100,951
1c4c52b1,1739025784.787585,97,951
1c4c52b1,1739025784.830997,97,919
1c4c52b1,1739025784.873049,97,919
1c4c52b1,1739025784.921201,156,947
1c4c52b1,1739025784.961209,101,951
1c4c52b1,1739025785.0052228,101,946
1c4c52b1,1739025785.046078,100,946
1c4c52b1,1739025785.094212,103,946
1c4c52b1,1739025785.136588,103,946
1c4c52b1,1739025785.18122,103,946
1c4c52b1,1739025785.2198248,97,929
1c4c52b1,1739025785.264491,89,929
1c4c52b1,1739025785.3095071,88,902
1c4c52b1,1739025785.357528,161,935
1c4c52b1,1739025785.402991,97,902
1c4c52b1,1739025785.448837,106,933
1c4c52b1,1739025785.506936,117,933
1c4c52b1,1739025785.6080818,161,902
1c4c52b1,1739025785.674759,104,920
1c4c52b1,1739025785.705808,165,921
1c4c52b1,1739025785.743315,105,861
1c4c52b1,1739025785.7847471,167,915
1c4c52b1,1739025785.8274271,105,923
1c4c52b1,1739025785.870183,145,924
1c4c52b1,1739025785.913826,496,933
1c4c52b1,1739025785.955869,583,991
1c4c52b1,1739025786.001575,573,1006
1c4c52b1,1739025786.05189,645,889
1c4c52b1,1739025786.098333,583,907
1c4c52b1,1739025786.149788,638,970
1c4c52b1,1739025786.209748,966,936
1c4c52b1,1739025786.301857,738,912
1c4c52b1,1739025786.371488,1260,878
1c4c52b1,1739025786.451085,1132,868
1c4c52b1,1739025786.481046,1440,901
1c4c52b1,1739025786.521434,1432,882
1c4c52b1,1739025786.564227,1437,878
1c4c52b1,1739025786.610024,1437,882
1c4c52b1,1739025786.652063,1066,886
1c4c52b1,1739025786.6962261,1243,886
1c4c52b1,1739025786.7393658,1243,886
1c4c52b1,1739025786.780768,1243,886
1c4c52b1,1739025786.826133,1248,886
1c4c52b1,1739025786.868431,1248,886
1c4c52b1,1739025786.912396,1437,886
1c4c52b1,1739025786.9546728,1243,886
1c4c52b1,1739025786.996738,1254,886
1c4c52b1,1739025787.045055,1254,886
1c4c52b1,1739025787.0832891,1283,886
1c4c52b1,1739025787.145185,1250,886
1c4c52b1,1739025787.2320378,1508,834
1c4c52b1,1739025787.308651,1528,816
1c4c52b1,1739025787.3603158,1528,816
1c4c52b1,1739025787.4123242,1550,816
1c4c52b1,1739025787.5125709,1550,816
1c4c52b1,1739025787.5799181,1585,826
1c4c52b1,1739025787.659055,1644,848
1c4c52b1,1739025787.689792,1648,845
1c4c52b1,1739025787.732552,1627,845
1c4c52b1,1739025787.7774742,1589,845
1c4c52b1,1739025787.820256,1589,845
1c4c52b1,1739025787.8642209,1589,845
1c4c52b1,1739025787.90706,1610,845
1c4c52b1,1739025787.9496331,1606,845
