session_id,yaw,pitch,gaze_left_x,gaze_left_y,gaze_left_z,gaze_right_x,gaze_right_y,gaze_right_z,head_tx,head_ty,head_tz,head_roll,head_pitch,head_yaw,screen_x,screen_y
702d760a,0.06222645,0.07090650000000001,0.14193050000000001,0.06513255,-0.9876975,-0.0174445,0.07581289999999999,-0.9969395000000001,26.1328,-21.0894,588.826,-0.02586915,-0.07977955,-0.052120700000000006,75,49
702d760a,0.0178745,0.0662341,0.101221,0.0604133,-0.992975,-0.0656621,0.0713053,-0.995271,21.0013,-24.8156,592.937,-0.0335229,-0.00891972,-0.0546529,1436,49
702d760a,0.02920395,0.10903550000000001,0.11268049999999999,0.10295950000000001,-0.9883435,-0.05504105,0.11369299999999999,-0.9920070000000001,22.0078,-23.353099999999998,592.9965,-0.009556315,-0.021425,-0.04552135,75,932
702d760a,0.0144181,0.113684,0.0961815,0.106548,-0.989583,-0.0676749,0.119413,-0.990553,18.9492,-21.604,589.104,0.0101922,0.0013691,-0.0529248,1436,932
702d760a,-0.000362672,0.0272347,0.0803118,0.0257142,-0.995951,-0.0790903,0.030381,-0.99615,15.3196,-22.0585,738.084,-0.0726819,0.0194794,-0.00335239,756,491
702d760a,0.0005601585,0.038798200000000005,0.0842742,0.033793699999999996,-0.9957484999999999,-0.08288404999999999,0.04364335,-0.9955435,1.526235,-11.2257,633.8015,-0.06716795,0.0268807,-0.022096400000000002,756,49
702d760a,-0.000320701,0.0562206,0.08361735000000001,0.0491875,-0.9953035,-0.08439745,0.06278334999999999,-0.9944875,2.131285,-8.767140000000001,639.495,-0.04575245,0.0293299,-0.0355751,756,932
702d760a,0.0497246,0.0577926,0.13074,0.0505937,-0.989853,-0.0336544,0.0640302,-0.995416,-4.51672,-4.00331,649.174,-0.042959,-0.0289027,-0.0470766,189,491
702d760a,0.010293650000000001,0.0702132,0.09108175,0.06188505,-0.9937315,-0.07067899999999999,0.07795135,-0.9947545,-3.12691,-2.200095,641.1125,-0.0178209,0.01956115,-0.04727485,1323,491
5d29ccfc,0.2464355,-0.1196285,0.306626,-0.0957659,-0.9466414999999999,0.1782665,-0.13467649999999998,-0.9747304999999999,-39.43125,88.47035,686.0875,-0.2220005,-0.288499,0.13383,75,49
5d29ccfc,0.0564597,-0.107471,0.126772,-0.0952457,-0.986939,-0.0143472,-0.119316,-0.992269,-61.5108,81.8301,666.19,-0.208125,-0.0199792,0.142915,1436,49
5d29ccfc,0.14935,-0.07156335,0.22031450000000002,-0.0571568,-0.9736855,0.0756571,-0.08380445,-0.9934405,-45.8768,84.45325,667.624,-0.17323149999999998,-0.166238,0.1601495,75,932
5d29ccfc,0.06498825,-0.056865200000000005,0.13600600000000002,-0.0457722,-0.989514,-0.00603394,-0.0670134,-0.9974375,-59.664249999999996,82.57625,663.5545,-0.14672200000000002,-0.03502605,0.15832849999999998,1436,932
5d29ccfc,0.1200705,-0.032050449999999994,0.194329,-0.02036395,-0.9806425,0.04382945,-0.0431806,-0.9980370000000001,-51.7234,78.31944999999999,650.6624999999999,-0.108326,-0.1216265,0.16264299999999998,756,491
5d29ccfc,0.113287,-0.0504923,0.187604,-0.0391817,-0.981563,0.0366943,-0.0614005,-0.997564,-52.5857,75.6685,643.463,-0.126988,-0.108649,0.148358,756,49
5d29ccfc,0.0939168,-0.00599497,0.168544,0.00296694,-0.985642,0.0186156,-0.0148593,-0.999703,-55.244,80.5791,639.203,-0.0748011,-0.0836254,0.152696,756,932
5d29ccfc,0.113274,-0.0178238,0.187447,-0.00790601,-0.982255,0.0378961,-0.0278949,-0.998869,-50.7963,75.2879,631.659,-0.0842453,-0.114851,0.156703,189,491
5d29ccfc,0.0295031,-0.0134979,0.104052,-0.00501062,-0.99449,-0.04487,-0.0203887,-0.998864,-57.7947,72.2078,631.154,-0.0940624,0.0169136,0.14122,1323,491
6417db86,0.064112,-0.021312900000000003,0.1413695,-0.0213251,-0.989706,-0.01057245,-0.02151,-0.9995015,43.83095,9.441705,669.0844999999999,-0.1148735,-0.08722545000000001,-0.011374249999999999,75,49
6417db86,-0.09049235,-0.0254553,-0.0110221,-0.027515699999999997,-0.999439,-0.16890349999999998,-0.0213863,-0.9853795,22.844099999999997,7.920745,668.1800000000001,-0.1185445,0.1388765,-0.003447185,1436,49
6417db86,0.0437438,0.0331658,0.123986,0.0326394,-0.991631,-0.0373168,0.033505,-0.998548,43.6853,18.8331,662.484,-0.0558161,-0.0611738,-0.00457567,75,932
6417db86,-0.0741226,0.0592365,0.00659815,0.0549351,-0.998288,-0.153894,0.0639181,-0.985907,26.1956,18.3578,657.296,-0.0276161,0.124711,-0.0220996,1436,932
6417db86,-0.0504442,0.0337608,0.0302371,0.0282499,-0.999158,-0.13021,0.0389593,-0.990831,28.0604,14.7589,661.274,-0.0508182,0.0878308,-0.0272308,756,491
6417db86,-0.044484300000000004,-0.0311738,0.0360643,-0.03643735,-0.998721,-0.12454950000000001,-0.02571345,-0.9918925000000001,26.9484,7.54322,667.354,-0.131975,0.07857715,-0.0365667,756,49
6417db86,-0.0453741,0.0402489,0.0352257,0.0329028,-0.998678,-0.125795,0.047218,-0.990978,27.5608,15.6425,664.471,-0.0545188,0.0839664,-0.0472407,756,932
6417db86,0.0404119,-0.000132675,0.117418,-0.00361616,-0.993063,-0.0368246,0.003339995,-0.999313,38.6896,12.984850000000002,665.999,-0.09961305,-0.047132999999999994,-0.04377415,189,491
6417db86,-0.0741987,-0.000456771,0.00637449,-0.00588005,-0.999946,-0.154026,0.00478331,-0.988053,24.9616,11.3696,666.443,-0.100929,0.122958,-0.0284726,1323,491
a2c20b4f,0.134351,0.0636767,0.251791,0.0641404,-0.965074,0.0180972,0.0644343,-0.997799,22.6897,-3.80101,489.119,-0.150619,-0.0725842,-0.0254325,75,49
7068ddf6,0.10861699999999999,-0.047443849999999996,0.181702,-0.046013899999999996,-0.9820025,0.034824400000000005,-0.047111799999999995,-0.998169,27.2807,13.72565,769.4175,-0.13351249999999998,-0.13104749999999998,-0.05522235,75,49
7068ddf6,-0.057302500000000006,-0.0212575,0.0207589,-0.02432275,-0.9982679999999999,-0.134452,-0.0155119,-0.9904895,22.52665,18.67825,752.3415,-0.0943477,0.09610615,-0.019818099999999998,1436,49
